Date,CCJ,NLR,SPY,URA,URNM
2019-12-02,8.963971138000488,40.73591232299805,282.6760559082031,8.542102813720703,10.484480857849121
2019-12-03,9.003244400024414,40.82928466796875,280.7803039550781,8.597931861877441,10.484480857849121
2019-12-04,9.179969787597656,41.457420349121094,282.5128479003906,8.637812614440918,10.484480857849121
2019-12-05,9.121061325073242,41.414981842041016,283.020751953125,8.661739349365234,10.589218139648438
2019-12-06,9.59233283996582,41.576263427734375,285.60595703125,8.829232215881348,10.723048210144043
2019-12-09,8.954153060913086,41.686614990234375,284.7080078125,8.637812614440918,10.543499946594238
2019-12-10,8.797061920166016,41.55079650878906,284.3903503417969,8.629836082458496,10.555968284606934
2019-12-11,8.934516906738281,41.856380462646484,285.19769287109375,8.741497993469238,10.616233825683594
2019-12-12,9.101426124572754,41.8648681640625,287.6558837890625,8.877087593078613,10.676913261413574
2019-12-13,8.954153060913086,41.78847122192383,287.82818603515625,8.805303573608398,10.638677597045898
2019-12-16,8.757789611816406,41.77998352050781,289.8055725097656,8.781377792358398,10.618727684020996
2019-12-17,8.571244239807129,42.19591522216797,289.8690490722656,8.709593772888184,10.511080741882324
2019-12-18,8.600699424743652,42.331729888916016,289.88714599609375,8.741497993469238,10.644911766052246
2019-12-19,8.639972686767578,42.34871292114258,291.0755615234375,8.78935432434082,10.628703117370605
2019-12-20,8.482882499694824,42.27231216430664,292.3515930175781,8.765426635742188,10.585894584655762
2019-12-23,8.68906307220459,42.14103317260742,292.7982482910156,8.765426635742188,10.707670211791992
2019-12-24,8.698881149291992,42.088863372802734,292.807373046875,8.765426635742188,10.69644832611084
2019-12-26,8.757789611816406,42.1671142578125,294.3660583496094,8.837207794189453,10.802017211914062
2019-12-27,8.669426918029785,42.323612213134766,294.2930908203125,8.901016235351562,10.832773208618164
2019-12-30,8.738152503967285,42.097557067871094,292.6706848144531,8.844780921936035,10.856048583984375
2019-12-31,8.738152503967285,42.25405502319336,293.3816223144531,8.90101432800293,10.872257232666016
2020-01-02,8.777425765991211,42.35839080810547,296.125244140625,8.88494873046875,10.905922889709473
2020-01-03,8.885425567626953,42.271446228027344,293.8829040527344,8.844780921936035,10.943327903747559
2020-01-06,9.032698631286621,42.29752731323242,295.00421142578125,8.836747169494629,10.989047050476074
2020-01-07,8.846155166625977,41.80195617675781,294.174560546875,8.780513763427734,10.770845413208008
2020-01-08,8.738152503967285,41.697628021240234,295.7424621582031,8.668045997619629,10.692291259765625
2020-01-09,8.453426361083984,41.63676452636719,297.74786376953125,8.611810684204102,10.559709548950195
2020-01-10,8.78724479675293,41.64545822143555,296.89093017578125,8.692145347595215,10.598361015319824
2020-01-13,8.934516906738281,42.088863372802734,298.9327392578125,8.79658031463623,10.685641288757324
2020-01-14,8.826516151428223,42.097557067871094,298.4770202636719,8.78854751586914,10.66070556640625
2020-01-15,8.610519409179688,42.488800048828125,299.1515197753906,8.740347862243652,10.57342529296875
2020-01-16,8.738152503967285,42.80179214477539,301.6400146484375,8.828715324401855,10.666524887084961
2020-01-17,8.718518257141113,43.12348175048828,302.57891845703125,8.836747169494629,10.610830307006836
2020-01-21,8.59088134765625,43.10609817504883,301.986328125,8.820680618286133,10.45289421081543
2020-01-22,8.482882499694824,43.12348175048828,302.02288818359375,8.780513763427734,10.426294326782227
2020-01-23,8.384700775146484,43.49733352661133,302.3692321777344,8.756415367126465,10.292465209960938
2020-01-24,8.26688289642334,43.52342224121094,299.6802062988281,8.684113502502441,10.186896324157715
2020-01-27,8.080337524414062,43.227813720703125,294.8765563964844,8.435077667236328,9.945836067199707
2020-01-28,8.198156356811523,43.59297180175781,297.9665832519531,8.386877059936523,9.895960807800293
2020-01-29,8.227609634399414,43.56688690185547,297.720458984375,8.39491081237793,9.808679580688477
2020-01-30,8.188338279724121,43.73208236694336,298.6866149902344,8.306543350219727,9.792055130004883
2020-01-31,7.923247337341309,43.26258850097656,293.2630920410156,8.121774673461914,9.759222030639648
2020-02-03,8.149065017700195,43.97551727294922,295.44158935546875,8.354743003845215,9.974929809570312
2020-02-04,8.541790962219238,44.1494026184082,299.9444885253906,8.523445129394531,10.179830551147461
2020-02-05,8.610519409179688,44.31459426879883,303.4083251953125,8.579678535461426,10.21806812286377
2020-02-06,8.492698669433594,44.25373840332031,304.4291687011719,8.61984634399414,10.161958694458008
2020-02-07,8.414154052734375,44.05376434326172,302.8067932128906,8.555578231811523,10.124553680419922
2020-02-10,8.639972686767578,44.17549133300781,305.0673522949219,8.539510726928711,10.066365242004395
2020-02-11,9.062151908874512,44.462398529052734,305.59600830078125,8.708213806152344,10.274175643920898
2020-02-12,9.32724380493164,44.349365234375,307.5648498535156,8.844780921936035,10.515653610229492
2020-02-13,9.140697479248047,44.436309814453125,307.2367248535156,8.764447212219238,10.462868690490723
2020-02-14,9.07197093963623,44.63628387451172,307.7289123535156,8.772479057312012,10.354806900024414
2020-02-18,9.101426124572754,45.036216735839844,306.9358825683594,8.71624755859375,10.282488822937012
2020-02-19,9.04251766204834,45.13185501098633,308.4034118652344,8.708213806152344,10.303271293640137
2020-02-20,8.905061721801758,44.91450119018555,307.1364440917969,8.61984634399414,10.265865325927734
2020-02-21,8.875608444213867,45.036216735839844,303.9734802246094,8.56361198425293,10.161958694458008
2020-02-24,8.728336334228516,44.262428283691406,293.89202880859375,8.258342742919922,9.84192943572998
2020-02-25,8.443610191345215,43.08870315551758,284.986572265625,8.13784122467041,9.56637191772461
2020-02-26,8.36506462097168,42.914825439453125,283.93829345703125,8.097673416137695,9.448336601257324
2020-02-27,8.158884048461914,41.4628791809082,271.1861877441406,7.840605735778809,9.257980346679688
2020-02-28,8.52215576171875,40.35871124267578,270.0467834472656,7.792405605316162,9.15449047088623
2020-03-02,8.453426361083984,41.6193733215332,281.741455078125,7.96914005279541,9.354406356811523
2020-03-03,8.512336730957031,41.375938415527344,273.67449951171875,8.001274108886719,9.399292945861816
2020-03-04,8.541790962219238,43.13217544555664,285.17791748046875,8.13784122467041,9.533123016357422
2020-03-05,8.639972686767578,42.45402908325195,275.6980895996094,8.0816068649292,9.358562469482422
2020-03-06,8.325791358947754,41.836727142333984,271.1405944824219,7.993239879608154,9.234292030334473
